"greco","ser","year","V","PV","GTOT","NT","mqd"
"H","H41",2002,123.526540081653,3.00721886510589,18.6820414307241,532.842539087041,0.663770050292987
"H","H42",1982,121.332579751047,2.24196023257693,18.2126876193729,526.965977883051,0.659023138132611
"H","H42",1987,116.044076492111,2.37807969067217,16.1583098522123,423.139804644433,0.692725153180602
"H","H42",1997,129.591493380375,2.81068191732637,18.9151287154934,483.581481140022,0.701091580982373
"H","H42",2002,157.452764158075,3.21184545938392,21.0205987529048,443.121888033536,0.772086345444765
"I","I11",1982,78.5811943555898,4.1393659854448,13.3833740125944,849.100587455222,0.445049347674801
"I","I11",1987,110.560793817565,4.78033278922503,16.4582947085388,679.210542560274,0.551817081838074
"I","I11",1992,76.1264701130822,3.79182739100196,12.3388367705521,595.786418665035,0.510148650370009
"I","I11",1997,163.036842606752,5.56635974809854,21.7987923699888,503.010382739059,0.737959749325342
"I","I11",2002,125.189618032582,5.21931075031989,19.4631180816661,890.620284403682,0.524040496750346
"I","I12",1982,188.125474840841,5.55040462703186,25.7648361764779,779.274901199445,0.644574737357116
"I","I12",1987,163.839852910234,4.76377874598182,22.3030711644218,696.994481446429,0.63412167382407
"I","I12",1992,190.179852642375,4.85036390330196,26.3209889336678,744.138922974169,0.666697800918514
"I","I13",1987,64.6554970873041,2.74897319375432,13.5065778715051,736.997307920923,0.479893253683657
"I","I21",1982,117.616105758767,3.54870517258489,17.6200762300329,677.278212300969,0.5717751428932
"I","I21",1987,159.217504778839,3.38888380031599,20.308048613239,480.762662598834,0.728573990640328
"I","I21",1992,120.013877082751,3.51064393553289,17.8673886990344,561.269192526534,0.632484478663071
"I","I21",1997,177.536538548077,4.13924145770758,23.4777947736916,475.751306979833,0.78748735338829
"I","I21",2002,187.547252100386,4.59130462762885,23.8068195772122,587.495774934408,0.713597382699028
"I","I22",1982,88.3674330443072,3.28403543834927,17.1874167162371,794.506548544734,0.5213885562974
"I","I22",1992,89.4854986217642,2.86765663844798,18.1735025949421,762.725567295968,0.547192452378268
"J","J10",1982,32.0738566329895,1.66340659592648,8.80663643809058,753.793403484987,0.383163207077829
"J","J10",1992,21.6585638337793,0.782368363620835,5.18318433313943,328.186694370558,0.445494938709191
"J","J10",1997,27.6613965328489,1.10693085847848,7.81481664443435,631.732287026404,0.394273684671745
"J","J21",1982,57.3119276293952,2.37590123918792,13.8276306347186,829.029952464416,0.45781888804474
"J","J21",1992,46.5963285179981,1.56589505481624,12.9979947080103,736.86673458916,0.470813204267489
"J","J22",1982,55.6308884122056,2.50479562323062,13.3419527129943,983.779104874759,0.412824851663628
"J","J22",1987,34.1922563105598,1.36099152361036,8.24737698745036,400.184635195169,0.508900233591414
"J","J22",1997,65.577723640285,2.45117264300945,15.9615915786725,937.170714154751,0.462629875083278
"J","J22",2002,48.7132004461902,2.23888626428656,10.0635746215069,482.050033293391,0.512194616025837
"J","J23",1982,37.7540234372247,1.74059626381647,9.74573313506782,682.58408051413,0.423578698785717
"J","J23",1987,38.3560275600406,1.72839436743729,9.41578899408851,585.966436529961,0.449362596523633
"J","J23",1997,49.1260117590677,2.00930669597092,11.494270403632,670.976198478035,0.463972328166234
"J","J23",2002,42.1630290144474,1.57711931750712,10.7293744319368,506.613698339757,0.515885912401156
"J","J24",1987,52.0038738156779,1.69208087955129,9.91564030380497,396.597156439936,0.560519229090627
"J","J24",2002,65.5172473326428,2.20435795658059,13.3233894040449,559.779333219683,0.546894886094396
"J","J30",1987,43.2080139313087,1.72564036013232,11.4829603534049,461.196001235595,0.559357026736535
"J","J30",1997,45.8743683535509,1.68720545667605,12.0363932399507,446.953743240222,0.581730489656172
"J","J40",1982,39.8548415655327,1.9116130998084,10.1861284443306,803.044395021974,0.399245223030986
"J","J40",1987,41.4463693601242,1.65914062778201,10.0998978780636,678.615960733609,0.432465421437094
"J","J40",1997,49.2525085455956,1.88377975353218,12.8595296868058,819.304271964961,0.444114410255463
"J","J40",2002,51.5542516518076,1.87150748118884,12.9004349465853,774.910323813746,0.457384439035237
"K","K11",1987,47.5175147678716,1.31684182476917,10.4252603042641,411.501404481905,0.564238511127989
